COGNOME NOME,CITTA',PROV,INDIRIZZO E-MAIL,STELLE
HOTEL GRAND HOTEL DIANA MAJESTIC,DIANO MARINA,IM,info@dianamajestic.com ,****
HOTEL METROPOL,DIANO MARINA,IM,hotelmetropol@tin.it ,****
HOTEL TORINO,DIANO MARINA,IM,info@hoteltorinodiano.com ,****
HOTEL ARC EN CIEL,DIANO MARINA,IM,info@hotelarcenciel.it ,***
HOTEL ASTRA,DIANO MARINA,IM,info@astrahotel.it ,***
HOTEL BAIA BIANCA,DIANO MARINA,IM,info@hotelbaiabianca.com ,***
HOTEL CAPRI,DIANO MARINA,IM,info@hotelcapridiano.com ,***
HOTEL CORALLO,DIANO MARINA,IM,info@corallohotel.it ,***
HOTEL DELLE MIMOSE,DIANO MARINA,IM,info@hoteldellemimose.com ,***
HOTEL GABRIELLA,DIANO MARINA,IM,info@hotelgabriella.com ,***
HOTEL GOLFO E PALME,DIANO MARINA,IM,info@hotelgolfoepalme.it ,***
HOTEL HELIOS,DIANO MARINA,IM,helios@corallohotel.it ,***
HOTEL IVA,DIANO MARINA,IM,info@hoteliva.it ,***
HOTEL JASMIN,DIANO MARINA,IM,info@hoteljasmin.com ,***
HOTEL KRISTALL,DIANO MARINA,IM,info@kristallhotel.it ,***
HOTEL LA BAIA,DIANO MARINA,IM,info@hotellabaia.it ,***
HOTEL LILIANA,DIANO MARINA,IM,info@hotel-liliana.com ,***
HOTEL MEDITERRANEO,DIANO MARINA,IM,info@residencemediterraneo.net ,***
HOTEL MIRAMARE,DIANO MARINA,IM,info@hmiramarediano.it ,***
HOTEL MORCHIO,DIANO MARINA,IM,info@hotelmorchio.it ,***
HOTEL MORESCO,DIANO MARINA,IM,info@hotelmoresco.info ,***
HOTEL NAPOLEON,DIANO MARINA,IM,napoleon@decarlo.net ,***
HOTEL NETTUNO,DIANO MARINA,IM,info@hnettuno.it ,***
HOTEL OLYMPIC,DIANO MARINA,IM,info@hotelolympic.it ,***
HOTEL PALACE,DIANO MARINA,IM,info@palacediano.it ,***
HOTEL PALM BEACH,DIANO MARINA,IM,info@residencepalmbeach.it ,***
HOTEL PARADISO,DIANO MARINA,IM,info@hotelparadisodiano.com ,***
HOTEL PICCOLO HOTEL,DIANO MARINA,IM,info@piccolohotel-dianomarina.com ,***
HOTEL RAFFY,DIANO MARINA,IM,raffy@corallohotel.it ,***
HOTEL RIVIERA,DIANO MARINA,IM,info@dianoriviera.it ,***
HOTEL ROYAL ESPLANADE,DIANO MARINA,IM,info@royalesplanade.it ,***
HOTEL SASSO,DIANO MARINA,IM,info@hotelsassoresidence.com ,***
HOTEL SILVANO,DIANO MARINA,IM,info@hotelsilvano.it ,***
HOTEL SOLE,DIANO MARINA,IM,hotel-sole@libero.it ,***
HOTEL SOLE MARE,DIANO MARINA,IM,info@solemare-hotel.it ,***
HOTEL SPLENDID,DIANO MARINA,IM,info@hotel-splendid.it ,***
HOTEL ULIVO,DIANO MARINA,IM,info@hotelulivo.net ,***
HOTEL VILLA DEGLI ARANCI,DIANO MARINA,IM,info@villaranci.com ,***
HOTEL VILLA GIOIOSA,DIANO MARINA,IM,villagioiosa@costalevante.it ,***
HOTEL VILLA IGEA,DIANO MARINA,IM,info@hotelvillaigea.com ,***
HOTEL VILLA SORRISO,DIANO MARINA,IM,info@hotel-splendid.it ,***
HOTEL VIRGINIA,DIANO MARINA,IM,info@virginiahotel.it ,***
HOTEL AL SOGNO,DIANO MARINA,IM,info@giuseppecalabria.191.it ,**
HOTEL ATLANTIC,DIANO MARINA,IM,atlantikhotel@libero.it ,**
HOTEL CANDIDO,DIANO MARINA,IM,info@hotelcandido.com ,**
HOTEL IL CAMINETTO,DIANO MARINA,IM,ristcaminetto@libero.it ,**
HOTEL JOLANDA,DIANO MARINA,IM,,**
HOTEL LA MARGHERITA,DIANO MARINA,IM,info@hotellamargherita.com ,**
HOTEL SMERALDO,DIANO MARINA,IM,,**
HOTEL TINA,DIANO MARINA,IM,hoteltina@rivieradeifiori.com ,**
HOTEL ROSSINI AL TEATRO,IMPERIA,IM,info@hotel-rossini.it ,****
HOTEL ARISTON,IMPERIA,IM,info@hotelariston-imperia.it ,***
HOTEL CENTRO,IMPERIA,IM,info@hotel-centro.it ,***
HOTEL CORALLO,IMPERIA,IM,info@coralloimperia.it ,***
HOEL CROCE DI MALTA,IMPERIA,IM,info@hotelcrocedimalta.com ,***
HOTEL KRISTINA,IMPERIA,IM,info@hotelkristina.com ,***
HOTEL ROBINIA,IMPERIA,IM,rhotel@tin.it ,**
HOTEL AL PORTO,IMPERIA,IM,,**
HOTEL COSTA,IMPERIA,IM,anticalocandacosta@yahoo.it ,**
HOTEL ITALIA DA EDY,IMPERIA,IM,info@residence-edy.it ,**
HOTEL NELLA,IMPERIA,IM,albergonella@hotmail.it ,**
HOTEL PIEMONTESE,IMPERIA,IM,info@piemontesehotel.it ,**
HOTEL STELLA,IMPERIA,IM,,**
HOTEL FIRENZE,OSPEDALETTI,IM,firenze@azurline.com ,***
HOTEL LE ROCCE DEL CAPO,OSPEDALETTI,IM,info@leroccedelcapohotel.it ,***
HOTEL PETIT ROYAL,OSPEDALETTI,IM,hotelpetitroyal@tiscalinet.it ,***
HOTEL ITALIA,OSPEDALETTI,IM,albergoitalia@gmail.com ,**
HOTEL SAVOIA,OSPEDALETTI,IM,hotelsavoia@ospedaletti.com ,**
HOTEL DEL PRADO ,RIVA LIGURE,IM,info@hoteldelprado.it ,***
HOTEL ADRIMER,SAN BARTOLOMEO AL MARE,IM,info@hadrimer.net.it ,***
HOTEL ANITA,SAN BARTOLOMEO AL MARE,IM,hotelanita@rivieradeifiori.com ,***
HOTEL BELLAVISTA,SAN BARTOLOMEO AL MARE,IM,info@bellavista-hotel.net ,***
HOTEL BERGAMO,SAN BARTOLOMEO AL MARE,IM,info@hotelbergamomare.it ,***
HOTEL DELLE ROSE,SAN BARTOLOMEO AL MARE,IM,dellerose@uno.it ,***
HOTEL EUROPA,SAN BARTOLOMEO AL MARE,IM,info@hoteleuropa-riviera.com ,***
HOTEL FORTUNA,SAN BARTOLOMEO AL MARE,IM,info@hotelfortuna.biz ,***
HOTEL MAYOLA,SAN BARTOLOMEO AL MARE,IM,info@hotelmayola.it ,***
HOTEL PICCOLO HOTE LE PALME,SAN BARTOLOMEO AL MARE,IM,info@hotel-lepalme.com,***
HOTEL PIERA,SAN BARTOLOMEO AL MARE,IM,albergopiera@libero.it ,***
HOTEL ROMANA,SAN BARTOLOMEO AL MARE,IM,hotel-romana@libero.it ,***
HOTEL SAN GIACOMO,SAN BARTOLOMEO AL MARE,IM,info@hotel-sangiacomo.eu ,***
HOTEL SAN MATTEO,SAN BARTOLOMEO AL MARE,IM,info@hotelsanmatteo.it ,***
HOTEL STELLA MARIS,SAN BARTOLOMEO AL MARE,IM,info@hotelstellamaris.info ,***
HOTEL VILLA DANIELA,SAN BARTOLOMEO AL MARE,IM,info@hotelvilladaniela.it ,***
HOTEL VILLA SAN GIUSEPPE,SAN BARTOLOMEO AL MARE,IM,info@villasangiuseppe.com ,***
HOTEL RIVIERA DEI FIORI,SAN LORENZO AL MARE,IM,reservation@hotelrivieradeifiori.it,****
HOTEL ROYAL HOTEL,SANREMO,IM,reservations@royalhotelsanremo.com ,*****L
HOTEL EUROPA,SANREMO,IM,info@hoteleuropa-sanremo.com,****
HOTEL EVELINE PORTOSOLE,SANREMO,IM,hotel@evelineportosole.com ,****
HOTEL FESTIVAL,SANREMO,IM,h.festival@rosenet.it ,****
HOTEL GRAND HOTEL & DES ANGLAIS,SANREMO,IM,desanglais@sistel.it ,****
HOTEL GRAND HOTEL LONDRA,SANREMO,IM,info@londrahotelsanremo.it ,****
HOTEL MIRAMARE CONTINENTAL PALACE,SANREMO,IM,mirhotel@tin.it ,****
HOTEL NAZIONALE,SANREMO,IM,nazionale.im@bestwestern.it ,****
HOTEL NYALA,SANREMO,IM,info@nyalahotel.com ,****
HOTEL PARADISO,SANREMO,IM,info@paradisohotel.it ,****
HOTEL ALEXANDER,SANREMO,IM,info@hotelalexandersanremo.com ,***
HOTEL ARISTON MONTECARLO,SANREMO,IM,info@aristonmontecarlo.com ,***
HOTEL BELSOGGIORNO,SANREMO,IM,info@belsoggiorno.net ,***
HOTEL BELLE EPOQUE,SANREMO,IM,info@hotelbelleepoquesanremo.it ,***
HOTEL BELVEDERE,SANREMO,IM,info@hotelbelvederesanremo.com ,***
HOTEL BOBBY EXECUTIVE,SANREMO,IM,htlbobby@sistel.it ,***
HOTEL COLOMBO E CONTINENTAL,SANREMO,IM,info@colombosanremo.com ,***
HOTEL EDEN,SANREMO,IM,hoteleden@sistel.it ,***
HOTEL ELETTO,SANREMO,IM,info@elettohotel.it ,***
HOTEL ESPERIA,SANREMO,IM,info@hotelesperiasanremo.com ,***
HOTEL GLOBO,SANREMO,IM,info@hotelglobosanremo.it ,***
HOTEL LOLLI PALACE,SANREMO,IM,info@lollihotel.it ,***
HOTEL MARINELLA,SANREMO,IM,hotelmarinella@hotelmarinella.it ,***
HOTEL MILANO,SANREMO,IM,info@hotelmilanosanremo.com ,***
HOTEL MORANDI,SANREMO,IM,info@hotelmorandi.com ,***
HOTEL NAPOLEON,SANREMO,IM,info@napoleonsanremo.it ,***
HOTEL PRINCIPE,SANREMO,IM,info@hotelprincipe.org ,***
HOTEL RIO,SANREMO,IM,info@hotelrio.it ,***
HOTEL SORRISO,SANREMO,IM,hotelsorriso2@libero.it ,***
HOTEL VILLA LA BRISE,SANREMO,IM,info@hotellabrise.it ,***
HOTEL VILLA MARIA,SANREMO,IM,info@villamariahotel.it ,***
HOTEL VILLA SAPIENZA,SANREMO,IM,info@villasapienza.it ,***
HOTEL SYLVA,SANREMO,IM,info@hotelvillasylva.it ,***
HOTEL AMBROSIANO,SANREMO,IM,info@hotelambrosiano.it ,**
HOTEL CORSO,SANREMO,IM,corsohotelsanremo@virgilio.it ,**
HOTEL CORTESE,SANREMO,IM,info@hotelcortese.com ,**
HOTEL LIBERTY,SANREMO,IM,htliberty@tiscali.it ,**
HOTEL MARISTELLA,SANREMO,IM,miramaresrlhotelmaristella@tin.it ,**
HOTEL RIVIERA,SANREMO,IM,info@hotelrivierasanremo.it ,**
HOTEL SOLE MARE,SANREMO,IM,info@solemarehotel.com ,**
HOTEL ANTHURIUMOTEL ,SANTO STEFANO AL MARE,IM,info@hotelanthurium.it ,****
HOTEL LUCCIOLA,SANTO STEFANO AL MARE,IM,info@albergolucciola.com ,***
HOTEL PICCOLO PARADISO,VALLECROSIA,IM,info@albergopiccoloparadiso.it ,***
HOTEL ASTI,VALLECROSIA,IM,,**
HOTEL BRUNO,VENTIMIGLIA,IM,,***
HOTEL KALY,VENTIMIGLIA,IM,info@hotelkaly.it ,***
HOTEL LA RISERVA DI CASTELDAPPIO,VENTIMIGLIA,IM,info@lariserva.it ,***
HOTEL POSTA,VENTIMIGLIA,IM,info@postahotel.net ,***
HOTEL PROVENZA,VENTIMIGLIA,IM,info@hotelprovenza.it ,***
HOTEL SEA GULL,VENTIMIGLIA,IM,info@seagullhotel.it ,***
HOTEL SOLE MARE,VENTIMIGLIA,IM,info@hotelsolemare.it ,***
HOTEL CALYPSO,VENTIMIGLIA,IM,info@calypsohotel.it ,**


,,,SAVONA,
HOTEL DUE GABBIANI,ANDORA,SV,hotel@duegabbianihp.com,***
HOTEL GALLEANO,ANDORA,SV,info@hotelgalleano.com,***
HOTEL GARDEN,ANDORA,SV,info@hotelgardenandora.com,***
HOTEL LA PINETA,ANDORA,SV,info@pensionepineta.it,***
HOTEL LILIANA,ANDORA,SV,info@hotelliliana.it,***
HOTEL LUNGOMARE,ANDORA,SV,info@hotellungomare.it,***
HOTEL MORESCO,ANDORA,SV,info@hotelmoresco.com,***
HOTEL NELLO,ANDORA,SV,info@hotelnello.com,***
HOTEL TRIESTE,ANDORA,SV,info.htrieste@triestehotel.it,***
HOTEL AL MARE,ANDORA,SV,info@hotelgalleano.com,**
HOTEL JOLE,ANDORA,SV,info@hoteliole.com,**
HOTEL LA PINETINA,ANDORA,SV,info@pensionepineta.it,**
HOTEL LA RONDINELLA,ANDORA,SV,info@hotellarondinella.it,**
HOTEL SAN MARCO,ANDORA,SV,sanmarcoandora@libero.it,**
HOTEL SPLENDID MARE,LAIGUEGLIA,SV,info@splendidmare.it,****
HOTEL AMBASSADOR,LAIGUEGLIA,SV,h.ambassador@tiscali.it,***
HOTEL AQUILIA,LAIGUEGLIA,SV,info@hotelaquilia.com,***
HOTEL BRISTOL,LAIGUEGLIA,SV,info@hotelbristollaigueglia.com,***
HOTEL DELFINO,LAIGUEGLIA,SV,hoteldelfino@unofree.it,***
HOTEL FLORA,LAIGUEGLIA,SV,info@hotelfloralaigueglia.com,***
HOTEL GARDEN,LAIGUEGLIA,SV,info@hotelgarden.sv.it,***
HOTEL LE PALME,LAIGUEGLIA,SV,info@hotel-lepalme.it,***
HOTEL LOCANDA DEI FIORI,LAIGUEGLIA,SV,info@locandadeifiori.com,***
HOTEL MAMBO,LAIGUEGLIA,SV,info@hotelmambo.com,***
HOTEL MEDITERRANEO ,LAIGUEGLIA,SV,mediterraneo@hotelmedit.it,***
HOTEL PATRIZIA,LAIGUEGLIA,SV,info@hotelpatrizia.it,***
HOTEL TRITONE,LAIGUEGLIA,SV,info@htritone.com,***
HOTEL VILLA GIULIA,LAIGUEGLIA,SV,info@hotelvillagiulia.net,***
HOTEL VILLA IDA,LAIGUEGLIA,SV,info@villaida.it,***
HOTEL ADRIANA,LAIGUEGLIA,SV,albergo.adriana@virgilio.it,**
HOTEL ARMIDA,LAIGUEGLIA,SV,info@albergoarmida.it,**
HOTEL CONTINENTAL,LAIGUEGLIA,SV,,**
HOTEL DEL GOLFO,LAIGUEGLIA,SV,contact@hoteldelgolfo.info,**
HOTEL GILDA,LAIGUEGLIA,SV,direzione@hotelgilda.it,**
HOTEL TRE CIUFFI,LAIGUEGLIA,SV,treciuffi@yahoo.it,**
HOTEL VILLA BIANCA,LAIGUEGLIA,SV,info@hotelvillabianca.net,**
HOTEL VILLA PINA GARNI',LAIGUEGLIA,SV,carrara.elena@alice.it,**
HOTEL GRAND HOTEL ALASSIO,ALASSIO,SV,info@ghalassio.com,*****
HOTEL AL SARACENO,ALASSIO,SV,alassio@alsaracenogroup.com,****
HOTEL DIANA GRAND HOTEL,ALASSIO,SV,hotel@dianagh.it,****
HOTEL EUROPA E CONCORDIA,ALASSIO,SV,info@hoteleuropaeconcordia.it,****
HOTEL GRAND HOTEL MEDITERRANEE',ALASSIO,SV,mediterrane@ethotels.com,****
HOTEL GRAND HOTEL SPIAGGIA,ALASSIO,SV,info@spiaggiahotel.it,****
HOTEL LIGURE,ALASSIO,SV,info@ligurealassio.it,****
HOTEL REGINA,ALASSIO,SV,info@reginahotel.it,****
HOTEL ADLER,ALASSIO,SV,info@hoteladleralassio.it,***
HOTEL AIDA,ALASSIO,SV,info@hotelaida.it,***
HOTEL AL MARE,ALASSIO,SV,info@hotelnuovoalmare.it,***
HOTEL ALFIERI,ALASSIO,SV,info@hotelalfierialassio.it,***
HOTEL BEAU RIVAGE,ALASSIO,SV,info@hotelbeaurivage.it,***
HOTEL BEAU SEJOUR,ALASSIO,SV,info@beausejourhotel.it,***
HOTEL BEL SIT,ALASSIO,SV,info@belsithotel.it,***
HOTEL BRISTOL,ALASSIO,SV,info@hotelbristolalassio.it,***
HOTEL CENTRALE CURTIS,ALASSIO,SV,info@hotelcurtis.it,***
HOTEL CORSO,ALASSIO,SV,info@hotelcorso.it,***
HOTEL DANIO LUNGOMARE,ALASSIO,SV,info@hoteldaniolungomare.it,***
HOTEL DEI FIORI,ALASSIO,SV,info@hoteldeifiori-alassio.it,***
HOTEL EDEN,ALASSIO,SV,eden@ivg.it,***
HOTEL ENRICO,ALASSIO,SV,info@hotelenrico.it,***
HOTEL EXPERIA,ALASSIO,SV,info@hotelexperia.com,***
HOTEL FLORA SUL MARE,ALASSIO,SV,info@florahotel.it,***
HOTEL FLORIDA,ALASSIO,SV,hotelflorida@supereva.it,***
HOTEL GANDOLFO ,ALASSIO,SV,info@hotelgandolfo.com,***
HOTEL GARDEN,ALASSIO,SV,info@hotelgarden-alassio.it,***
HOTEL LA BALNEARIA,ALASSIO,SV,info@labalnearia.com,***
HOTEL LAMBERTI ,ALASSIO,SV,info@hotellamberti.it,***
HOTEL LIDO,ALASSIO,SV,info@hotellidoalassio.it,***
HOTEL MAJESTIC,ALASSIO,SV,info@majestic.it,***
HOTEL MEUBLE' MEDIT,ALASSIO,SV,,***
HOTEL MILANO,ALASSIO,SV,info@hotelmilanoalassio.com,***
HOTEL NUOVO HOTEL WEST-END,ALASSIO,SV,info@hotel-west-end.it,***
HOTEL NUOVO SUISSE,ALASSIO,SV,info@suisse.it,***
HOTEL ROSA,ALASSIO,SV,info@hotelrosa.it,***
HOTEL SAN NICOLA,ALASSIO,SV,info@sannicolahotel.it,***
HOTEL SAVOIA,ALASSIO,SV,info@hotelsavoia.it,***
HOTEL TIRRENO,ALASSIO,SV,info@hoteltirrenoalassio.it,***
HOTEL TOSCANA,ALASSIO,SV,info@hoteltoscanaalassio.it,***
HOTEL VILLA IGEA,ALASSIO,SV,info@hoteligea.com,***
HOTEL AL SOGNO,ALASSIO,SV,,**
HOTEL AL SOLE,ALASSIO,SV,,**
HOTEL ALLA FONTANELLA,ALASSIO,SV,info@allafontanellaalassio.it,**
HOTEL AMBRA,ALASSIO,SV,ambra@hotelambra.it,**
HOTEL ANITA,ALASSIO,SV,info@albergoanita.it,**
HOTEL BADANO SUL MARE,ALASSIO,SV,info@badano.com,**
HOTEL BAIA BLU,ALASSIO,SV,info@baiablualassio.it,**
HOTEL BANKSIA MEUBLE',ALASSIO,SV,banksia@alassio.it,**
HOTEL BEL AIR,ALASSIO,SV,belair@ivg.it,**
HOTEL FANNY,ALASSIO,SV,hotel.fanny@katamail.com,**
HOTEL FIORENZA,ALASSIO,SV,fiorenza@alassio.it,**
HOTEL MIGNON,ALASSIO,SV,info@hotelmignonalassio.com,**
HOTEL MILANESINA,ALASSIO,SV,info@hotelmilanesina.it,**
HOTEL MIMOSA ,ALASSIO,SV,,**
HOTEL OLIMPIA,ALASSIO,SV,info@hotelolimpialassio.com,**
HOTEL PRIMULA,ALASSIO,SV,pri.mar@libero.it,**
HOTEL RIO,ALASSIO,SV,info@hotelrioalassio.it,**
HOTEL RIVIERA,ALASSIO,SV,info@hotelrivieraalassio.com,**
HOTEL SABRINA,ALASSIO,SV,info@hotelsabrinaalassio.com,**
HOTEL SAN GIORGIO,ALASSIO,SV,info@sangiorgiohotel.org ,**
HOTEL VILLA AMELIA,ALASSIO,SV,info@hotelvillaamelia.com,**
HOTEL CA' DI BERTA,ALBENGA,SV,info@hotelcadiberta.it,***
HOTEL MARISA,ALBENGA,SV,info@marisahotel.com,***
HOTEL SOLE MARE,ALBENGA,SV,hotelsolemare@tiscali.it ,***
HOTEL GIARDINO,ALBENGA,SV,info@hotelgiardino.org,**
HOTEL MAGNOLIA,ALBENGA,SV,lucia.volpiano@libero.it,**
HOTEL PESCETTO,ALBENGA,SV,info@hotelpescetto.it,**
HOTEL TORINO,ALBENGA,SV,info@albergoristorante.it,**
HOTEL VILLA ROSA,ALBENGA,SV,villarosahotel@g.mail.com,**
HOTEL IL QUADRIFOGLIO,CERIALE,SV,quadrifoglioceriale@hotmail.it,**
HOTEL TIFFANY,CERIALE,SV,info@hoteltiffanyceriale.com,**
HOTEL BORGHETTO,BORGHETTO SANTO SPIRITO,SV,hotelborghetto@libero.it,**
HOTEL CRISTINA,BORGHETTO SANTO SPIRITO,SV,info@hotelcristinaonline.com,**
HOTEL GLORY,BORGHETTO SANTO SPIRITO,SV,info@hotelglory.it,**
HOTEL VERGANI,BORGHETTO SANTO SPIRITO,SV,verganihotel@gmail.com,**
HOTEL VILLA DANCI,BORGHETTO SANTO SPIRITO,SV,info@hotelvilladanci.it,**
HOTEL GRAND HOTEL GARDEN LIDO,LOANO,SV,info@gardenlido.com,****
HOTEL ATLANTIC,LOANO,SV,info@hotelatlanticloano.com,***
HOTEL CASA MARINA M. VIRGILLITO,LOANO,SV,info@hotelcasamarina.it ,***
HOTEL CONCORDIA,LOANO,SV,info@concordialoano.com ,***
HOTEL EXCELSIOR,LOANO,SV,info@hotelexcelsiorloano.it,***
HOTEL VILLA IRIS,LOANO,SV,info@hotelvillairis.it,***
HOTEL KONIG,LOANO,SV,albergokonig@libero.it,***
HOTEL LA MEDITERRANEA,LOANO,SV,mediterranea@ivg.it,***
HOTEL LONDRA,LOANO,SV,,***
HOTEL MIRAFIORI,LOANO,SV,info@albergomirafiori.it ,***
HOTEL SAN CARLO,LOANO,SV,info@sancarlohotel.it,***
HOTEL TORRE ANTICA,LOANO,SV,info@hoteltorreantica.it,***
HOTEL TURISTICO,LOANO,SV,,***
HOTEL VILLA BEATRICE,LOANO,SV,hvbeatrice@tin.it,***
HOTEL VILLA LINA,LOANO,SV,villalina@tiscalinet.it,***
HOTEL VILLA MARY,LOANO,SV,hvmary@tin.it,***
HOTEL VILLA SERENA,LOANO,SV,info@serenotel.com,***
HOTEL VILLA TERESA,LOANO,SV,info@hotelvillateresa.it,***
HOTEL ALBATROS,LOANO,SV,h.albatros@virgilio.it,**
HOTEL AURORA,LOANO,SV,hotelaurora@katamail.com,**
HOTEL BOCCACCIO,LOANO,SV,,**
HOTEL CLAUDIA,LOANO,SV,info@hotelclaudialoano.it,**
HOTEL EUROPA,LOANO,SV,europaloano@libero.it,**
HOTEL GIORDANA,LOANO,SV,hotelnord@libero.it,**
HOTEL LA CARAVELLA,LOANO,SV,info@hotelcaravella.com,**
HOTEL LA PERGOLA,LOANO,SV,,**
HOTEL LIDO GIOVANNA,LOANO,SV,info@lidogiovanna.com,**
HOTEL MEDUSA,LOANO,SV,info@loanomedusa.it,**
HOTEL MILANO,LOANO,SV,info@milanoalbergo.com,**
HOTEL VILLA CARAMANTI,LOANO,SV,,**
HOTEL VILLA ELLE,LOANO,SV,albergovillaelle@yahoo.it,**
HOTEL VILLA ENRICO,LOANO,SV,villa-enrico@hotmail.it,**
HOTEL VILLA ROSA,LOANO,SV,info@villarosahotel.net,**
HOTEL VILLA TEMPO D'ESTATE,LOANO,SV,info@villatempodestateloano.com ,**
HOTEL AZUCENA,PIETRA LIGURE,SV,hotelazucena@tiscali.it,***
HOTEL CAPRI,PIETRA LIGURE,SV,info@albergo-capri.com,***
HOTEL CASA BALNEARE VALDESE,PIETRA LIGURE,SV,casabalneare@diaconiavaldese.org,***
HOTEL CASELLA,PIETRA LIGURE,SV,info@hotelcasella.it,***
HOTEL CONTINENTAL,PIETRA LIGURE,SV,h.continental.pietra@libero.it,***
HOTEL CORALLO,PIETRA LIGURE,SV,hcaldana@ivg.it,***
HOTEL DARIA,PIETRA LIGURE,SV,info@hoteldaria.com,***
HOTEL DE LA PLAGE,PIETRA LIGURE,SV,info@hoteldelaplage.it,***
HOTEL GEPPI,PIETRA LIGURE,SV,hotelgeppi@tiscali.it,***
HOTEL LA MILANESE,PIETRA LIGURE,SV,info@hotellamilanese.it,***
HOTEL LIDO,PIETRA LIGURE,SV,info@hotellido.net,***
HOTEL MAREMOLA,PIETRA LIGURE,SV,hotelmaremola@tin.it,***
HOTEL MINERVA,PIETRA LIGURE,SV,hotelminerva@zanolla.net,***
HOTEL MIRAMARE,PIETRA LIGURE,SV,info@hotelmiramarepietraligure.com,***
HOTEL MIRIAM,PIETRA LIGURE,SV,info@miriamhotel.com,***
HOTEL NUOVO BRISTOL,PIETRA LIGURE,SV,hcaldana@ivg.it,***
HOTEL PACO,PIETRA LIGURE,SV,info@hotelpaco.it,***
HOTEL PERLA,PIETRA LIGURE,SV,direzione@albergoperla.com,***
HOTEL ROSEN GARDEN,PIETRA LIGURE,SV,,***
HOTEL VILLA ASSUNTA,PIETRA LIGURE,SV,hotel-villa-assunta@libero.it,***
HOTEL VILLA MARINA,PIETRA LIGURE,SV,hcaldana@ivg.it,***
HOTEL VILLA NICOLE,PIETRA LIGURE,SV,hotelvillanicole@libero.it,***
HOTEL AURORA,PIETRA LIGURE,SV,,**
HOTEL BACCO,PIETRA LIGURE,SV,info@baccohotel.com,**
HOTEL DERBY,PIETRA LIGURE,SV,,**
HOTEL JOLANDA,PIETRA LIGURE,SV,,**
HOTEL JOLLY ROGER,PIETRA LIGURE,SV,hotel@hoteljollyroger.191.it,**
